clasificacion_codigo,clasificacion_nombre,articulo_sk,articulo_clave,descripcion,existencia_total,fecha_corte
20,IMPRESOS,7940,C518730012,JUEGO DE MEMORIA LIBRO FRIDA KAHLO,7,2025-09-03
20,IMPRESOS,7918,C516310005,ROMPECABEZAS PAPILLA ESTELAR,6,2025-09-03
20,IMPRESOS,7961,C520140001,POSTAL TEMAS VARIOS,41,2025-09-03
20,IMPRESOS,7949,C519820005,MASCARAS ANIMALES,10,2025-09-03
20,IMPRESOS,7947,C519820003,CALCOMANIA LUCHA LIBRE,12,2025-09-03
20,IMPRESOS,7926,C516310013,ROMPECABEZAS MONUMENTO REVOLUCION,6,2025-09-03
20,IMPRESOS,7896,C513590006,POSTER AUTORETRATO C/COLIBRI 8,24,2025-09-03
20,IMPRESOS,7921,C516310008,ROMPECABEZAS BELLAS ARTES,6,2025-09-03
21,CERAMICA,6721,C216370009,CAZUELA DIBUJO PAVO TALAVERA TLAX 44DIAM,1,2025-09-03
21,CERAMICA,23261,F2415044,VENADO CHIA GD,1,2025-09-03
21,CERAMICA,22367,F21090025,OLLA GEOMETRICA PAQUIME,3,2025-09-03
21,CERAMICA,21335,F02017520013,VELA PINO VARIOS COLORES,1,2025-09-03
21,CERAMICA,22633,F216710039,VIRGEN BULTO BARRO,5,2025-09-03
21,CERAMICA,22795,F218380012,RISTRA AJITO CLASICA,4,2025-09-03
21,CERAMICA,6471,C2071743,BOTANERO PUERCO HB B8,1,2025-09-03
21,CERAMICA,29810,FF214990388,CANTARO DE CRANEOS,1,2025-09-03
21,CERAMICA,7192,C2216162,SET PLATO Y TAZA EXPRESSO AZUL L2SEXPA01,9,2025-09-03
21,CERAMICA,7485,C27290017,PINA CONCHITA BARRO VID 70CMS,1,2025-09-03
